Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Aitmen,барбершоп,Барбершопы; Обучение мастеров для салонов красоты; Профессиональная косметика,"Бухар жырау улица, 36а",7 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1500,87761263922,,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77761263922,,,,,,51.097959,71.440436,https://2gis.com/firm/70000001036551449
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Алматы, 11",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,2697,87079600220,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77079600220,,,,https://t.me/+77079600220,,51.116179,71.429536,https://2gis.com/firm/70000001052009488
Myrza,,Барбершопы,"Амангельды Иманова улица, 41",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,614,87015412617,,,kalamkaszal@gmail.com,http://zapis.kz/barbershop-myrza,,https://instagram.com/myrza.barbershop,,,https://wa.me/77015412617,,,,,,51.161619,71.45749,https://2gis.com/firm/70000001078526555
Spirito Royal,барбершоп,Барбершопы,"улица Касым Кайсенов, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,7,87777240240,,,,,,https://instagram.com/spiritoroyal.barbershop,,,https://wa.me/77770554554,https://wa.me/77777240240,,,,,51.097332,71.445843,https://2gis.com/firm/70000001104888317
Cuba__barbershop,,Барбершопы,"улица Анет баба, 13/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,253,87717916784,,,,,,https://instagram.com/cuba__barbershop,,,https://wa.me/77717916784,,,,,,51.13996,71.38514,https://2gis.com/firm/70000001093531506
Oscar,барбершоп,Барбершопы,"улица Санжара Асфендиярова, 10",рядом с Green market,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,310,87781582255,,,oscar.barbershop@mail.ru,,,https://instagram.com/oscar_barbershop_astana,,,https://wa.me/77781582255,,,,,,51.136276,71.382013,https://2gis.com/firm/70000001087425965
Monke,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"Бухар жырау улица, 40",4 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,187,87712637091,,,,http://zapis.kz/monke-barbershop,http://taplink.cc/monke_barbershop,https://instagram.com/monke.barbershop,,,https://wa.me/77712637091,,,,,,51.096561,71.446395,https://2gis.com/firm/70000001078927953
Logovo,,Барбершопы,"проспект Абылай хана, 20Б",НП: 7,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.9,2644,87006461244,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77006461244,,,,,,51.155735,71.480897,https://2gis.com/firm/70000001065926390
Baur,барбершоп,Барбершопы,"улица Кайым Мухамедханов, 21",вход через пандус,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,172,87075878389,,,,http://n1327238.alteg.io,,https://instagram.com/baur_barbershop,,,https://wa.me/77075878389,,,,,,51.142225,71.381576,https://2gis.com/firm/70000001094311276
Baghdad,барбершоп,Барбершопы,"улица Толе би, 53",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:30-22:00; Вт: 10:30-22:00; Ср: 10:30-22:00; Чт: 10:30-22:00; Пт: 10:30-22:00; Сб: 10:30-22:00; Вс: 10:30-22:00,+05:00,5.0,378,87772133396 (администратор),,,hamigirl@bk.ru,http://n1207887.alteg.io,,https://instagram.com/baghdad_barbershop.kz,,,https://wa.me/77772133396,,,,,,51.125089,71.394427,https://2gis.com/firm/70000001077525309
True Man,барбершоп,Барбершопы,"улица Сарайшык, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,226,87020006697,,,truemanbarbershopastana@gmail.com,http://zapis.kz/true-man,,https://instagram.com/true_man_barbershop,,,https://wa.me/77020006697,,,,,,51.133724,71.42805,https://2gis.com/firm/70000001026517945
