Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
Underground,,Клубы видеоигр,"улица Санжара Асфендиярова, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-05:00; Вт: 14:00-05:00; Ср: 14:00-05:00; Чт: 14:00-05:00; Пт: 14:00-05:00; Сб: 14:00-05:00; Вс: 14:00-05:00,+05:00,5.0,225,87084255099 (служба бронирования),,,,http://taplink.cc/underground.ast,,https://instagram.com/underground_astana,,https://wa.me/77084255099,,,,,51.134083,71.380437,https://2gis.com/firm/70000001080003603
VS,игровой клуб,Клубы видеоигр,"улица Жанайдар Жирентаев, 15а",4 этаж,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 13:00-08:00; Вт: 13:00-08:00; Ср: 13:00-08:00; Чт: 13:00-08:00; Пт: 13:00-08:00; Сб: 13:00-08:00; Вс: 13:00-08:00,+05:00,4.9,82,87007577348,,,,,,https://instagram.com/vs.ps5,,https://wa.me/77007577348,,,,,51.152953,71.473602,https://2gis.com/firm/70000001055766397
Фанат,игровой клуб,Клубы видеоигр,"улица Шамши Калдаяков, 23/2",1 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,103,87757255268,,,,,,https://instagram.com/ps5astana_fanat,,https://wa.me/77757255268,,,,,51.114143,71.489716,https://2gis.com/firm/70000001083957291
Chilling Place,,Клубы видеоигр,"проспект Туран, 34Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.8,92,87025278186,,,,,,https://instagram.com/chillingplaceps01,,https://wa.me/77025278186,,,,,51.122604,71.405165,https://2gis.com/firm/70000001076002372
PlayStart,,Клубы видеоигр,"улица Ахмет Байтурсынулы, 33",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,72,87004982476,,,,,,https://instagram.com/playstart_5,,https://wa.me/77004982476,,,,,51.121278,71.492502,https://2gis.com/firm/70000001102712838
Imperator,игровой клуб,Клубы видеоигр,"улица Алихан Бокейхан, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,5.0,4,87716490192,87753857121,,,,,,,https://wa.me/77716490192,https://wa.me/77753857121,,,,51.116909,71.438815,https://2gis.com/firm/70000001104432195
Game Space,,Клубы видеоигр,"проспект Туран, 40/2",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,240,87066066697 (отдел бронирования ),87477898950 (отдел жалоб и предложений ),,,,,https://instagram.com/gamespace_ps5,,https://wa.me/77066066697,,,,https://t.me/gamespace_ps,51.115437,71.404753,https://2gis.com/firm/70000001082736917
One Play,,Клубы видеоигр,"улица Алихан Бокейхан, 16/3",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,41,87079589150,,,,http://oneplay.2gis.biz,,https://instagram.com/one_play_playstation,,https://wa.me/77079589150,,,,,51.105689,71.433119,https://2gis.com/firm/70000001101191444
Izzi,игровой клуб,Клубы видеоигр,"Аль-Фараби проспект, 44/1",5 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,5.0,96,87788526907,,,,,,https://instagram.com/izzi_ps,,https://wa.me/77788526907,,,,,51.085975,71.449225,https://2gis.com/firm/70000001081285306
Gold Game,игровой клуб,Клубы видеоигр,"улица Максут Нарикбаев, 9",,,,Нура район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-02:00 (по предварительной записи),+05:00,4.7,63,87786028900,,,,,,https://instagram.com/goldgame_01,,https://wa.me/77786028900,,,,,51.146688,71.381966,https://2gis.com/firm/70000001061967150
Чемпион,игровой клуб,Клубы видеоигр,"проспект Шакарим Кудайбердыулы, 25/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,106,87066631197,87000991113,,abzal14.04@icloud.com,,,https://instagram.com/ps5_champion_ast,,https://wa.me/77066631197,https://wa.me/77000991113,https://wa.me/77071766073,,,51.155235,71.506261,https://2gis.com/firm/70000001025892704
Ultra`s,игровой клуб,Клубы видеоигр,"улица Куйши Дина, 18/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,5.0,32,87773559966,87779888488,,,,,https://instagram.com/ultras.astana,,https://wa.me/77773559966,https://wa.me/77779888488,,,https://t.me/+77773559966,51.14707,71.475241,https://2gis.com/firm/70000001095137084
Тетрис,,Клубы видеоигр,"улица Санжара Асфендиярова, 5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-07:00; Вт: 14:00-07:00; Ср: 14:00-07:00; Чт: 14:00-07:00; Пт: 14:00-07:00; Сб: 14:00-07:00; Вс: 14:00-07:00,+05:00,4.9,147,87087060096,,,,,,https://instagram.com/tetris_ps5,,https://wa.me/77087060096,,,,,51.132959,71.380185,https://2gis.com/firm/70000001094438974
Берекет,бильярдный клуб,Клубы видеоигр; Бильярдные залы; Клубы настольного тенниса,"улица Кордай, 37а",2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.9,116,87754458438,,,,,,https://instagram.com/bereket.billiards,,https://wa.me/77754458438,,,,,51.139364,71.499572,https://2gis.com/firm/70000001061751206
PVL 14,клуб видеоигр,Клубы видеоигр,"проспект Бауыржан Момышулы, 18",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-05:00; Вт: 12:00-05:00; Ср: 12:00-05:00; Чт: 12:00-05:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00,+05:00,4.8,46,87058094234,,,,,,https://instagram.com/pvl._14,,https://wa.me/77058094234,,,,,51.141465,71.485986,https://2gis.com/firm/70000001063120694
Gentlemen,,Клубы видеоигр,"улица Кенесары, 65",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,115,87789450322,,,,,,https://instagram.com/gentlemen_astana,,https://wa.me/77789450322,,,,,51.167828,71.440453,https://2gis.com/firm/70000001080625348
Sonic,,Клубы видеоигр,"улица Машхур Жусип Копейулы, 11",2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-05:00; Вт: 14:00-05:00; Ср: 14:00-05:00; Чт: 14:00-05:00; Пт: 14:00-05:00; Сб: 14:00-05:00; Вс: 14:00-05:00,+05:00,5.0,45,87027820209,,,,http://www.tiktok.com/@sonic.astana,,https://instagram.com/sonicastana,,https://wa.me/77027820209,,,,,51.133784,71.497118,https://2gis.com/firm/70000001091211193
