Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
Soldi,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Визажисты; Обучение мастеров для салонов красоты,"улица Наркескен, 1/1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,49,87786990699,,,,,,http://zapis.kz/soldi-nail-go,,,https://instagram.com/soldi_nailgo_astana,,,,,,,,,,,,https://wa.me/77786990699,,,,,,,,,,,,,,,51.149202,71.427805,https://2gis.com/firm/70000001103748095
Prime,студия бровей и ресниц,Ногтевые студии; Оформление бровей и ресниц; Обучение мастеров для салонов красоты,"улица Култегин, 7",10 офис; 2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.9,214,87775605330,,,,,,http://zapis.kz/prime-lamination,,,https://instagram.com/prime_beautyroom,,,,,,,,,,,,https://wa.me/77775605330,,,,,,,,,,,,,,,51.130612,71.370964,https://2gis.com/firm/70000001054633617
CROP Beauty,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Эпиляция; Косметолог; Массажист; Перманентный макияж; Обучение мастеров для салонов красоты,"улица Орынбор, 12 Блок 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,605,87754506315,87079600270,,,,,http://crop-online.kz,,,https://instagram.com/crop.beauty,,,,,,,,,,,,https://wa.me/77754506315,,,,,,https://t.me/+77754506315,,,,,,,,,51.111933,71.40704,https://2gis.com/firm/70000001050775374
Aia Nail Club,,Ногтевые студии; Парикмахерские; Визажисты; Эпиляция; Оформление бровей и ресниц,"улица Санжара Асфендиярова, 9",НП: 15,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,146,87074448600,,,,,,,,,https://instagram.com/aia_nailclub,,,,,,,,,,,,https://wa.me/77074448600,,,,,,,,,,,,,,,51.135373,71.382084,https://2gis.com/firm/70000001088060854
Beauty stars,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Косметолог; Эпиляция; Услуги пирсинга,"проспект Улы Дала, 67",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,440,87084254455,,,,,,http://zapis.kz/beauty-stars,,,https://instagram.com/beauty_stars_ns,,,,,,,,,,,,https://wa.me/77084254455,,,,,,,,,,,,,,,51.093537,71.444043,https://2gis.com/firm/70000001063880807
Ola beauty,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция,"улица Анет баба, 9/1Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,550,87027930840,,,,,,,,,https://instagram.com/ola_beauty01,,,,,,,,,,,,https://wa.me/77027930840,,,,,,,,,,,,,,,51.136466,71.383945,https://2gis.com/firm/70000001063303827
Sande Beauty Salon,салон красоты,Ногтевые студии; Визажисты; Парикмахерские; Оформление бровей и ресниц,"проспект Туран, 52",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.8,407,87476074075,,,,,,,,,https://instagram.com/sande.beauty.salon,,,,,,,,,,,,https://wa.me/77476074075,,,,,,,,,,,,,,,51.105759,71.397879,https://2gis.com/firm/70000001081226902
Aurum,салон красоты,Ногтевые студии; Парикмахерские; Косметолог; Визажисты; Оформление бровей и ресниц; Эпиляция; Перманентный макияж,"улица Туркестан, 10",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,357,87001779729,,,mabk.astana@mail.ru,,,,,,https://instagram.com/_aurum_beauty_salon,,,,,,,,,,,,https://wa.me/77001779729,,,,,,,,,,,,,,,51.110189,71.425813,https://2gis.com/firm/70000001032551498
Maftuna_Nails_Astana,,Ногтевые студии; Обучение мастеров для салонов красоты; Подолог,"проспект Туран, 43/5",внутри салона красоты BN,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,60,87020345875,,,avlyaevamaftuna@mail.ru,,,,,,https://instagram.com/maftuna_nails_astana,,,,,,,,,,,,https://wa.me/77020345875,,,,,,https://t.me/+77020345875,,,,,,,,,51.124557,71.399552,https://2gis.com/firm/70000001088805356
Perfecto_cosm,,Ногтевые студии; Косметолог,"проспект Туран, 43/6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,30,87078636279,,,,,,,,,https://instagram.com/perfecto_cosm,,,,,,,,,,,,https://wa.me/77078636279,,,,,,,,,,,,,,,51.123376,71.399478,https://2gis.com/firm/70000001102990291
Rufina beauty time,салон красоты,Ногтевые студии; Оформление бровей и ресниц; Эпиляция; Обучение мастеров для салонов красоты; Массажист; Косметолог; Парикмахерские; Визажисты,"проспект Улы Дала, 39",7 блок,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,278,87751002491,,,,,,,,,https://instagram.com/rufina_beauty_time,,,,,,,,,,,,https://wa.me/77751002491,,,,,,https://t.me/+77751002491,,,,,,,,,51.099035,71.409866,https://2gis.com/firm/70000001089628717
Galo podology,ногтевая студия,Ногтевые студии; Подолог,"Бухар жырау улица, 34/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,4.9,610,87075533574,,,,,,http://galonails.tilda.ws/?fbclid=PAZnRzaAM_CRdleHRuA2FlbQIxMQABpxVw7qZEXnoNQLZDUUho2-oU41HUQUZtXnj7UeHnWHsK5doK0x3GwIL3DDvr_aem_ELkHzf-tI49GqisUSSUNKw,,,https://instagram.com/podology_galo,,,,,,,,,,,,https://wa.me/77075533574,,,,,,,,,,,,,,,51.097682,71.434061,https://2gis.com/firm/70000001048135290
It`s nailday.,,Ногтевые студии; Оформление бровей и ресниц; Визажисты; Парикмахерские,"улица Алихан Бокейхан, 16/3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,201,87771378718,,,,,,,,,https://instagram.com/its.nailday.astana,,,,,,,,,,,,https://wa.me/77771378718,,,,,,,,,,,,,,,51.105032,71.432884,https://2gis.com/firm/70000001090402939
The Pure studio,салон красоты,Ногтевые студии; Косметолог; Парикмахерские; Визажисты; Оформление бровей и ресниц; Эпиляция; Перманентный макияж,"проспект Туран, 43/5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,36,87752542904 (ресепшен),,,,,,,,,https://instagram.com/pure_astana,,,,,,,,,,,,https://wa.me/77752542904,,,,,,,,,,,,,,,51.124454,71.400279,https://2gis.com/firm/70000001099963648
Love beauty,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Эпиляция; Массажист; Обучение мастеров для салонов красоты,"улица Динмухамед Конаев, 14а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,93,87785331100,87086572826,,,,,http://n1362585.alteg.io,,,https://instagram.com/lovebeauty_astana,,,,,,,,,,,,https://wa.me/77086572826,,,,,,,,,,,,,,,51.129098,71.433329,https://2gis.com/firm/70000001103349496
