Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
Bloom Room Cafe,,Рестораны; Доставка еды,"проспект Туран, 52",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.6,1607,87057774440,,,,,,http://drive.google.com/file/d/1K5XT-Cb8lGWpkJLnsRa6yEptvFQOipv8/view,,,https://instagram.com/bloomroom.cafe,,,,,,,,,,,,https://wa.me/77057774440,,,,,,,,,,,,,,,51.10557,71.397607,https://2gis.com/firm/70000001080574946
Taiyo,бар,Рестораны; Бары,"улица Достык, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,813,87761116633,,,,,,,,,https://instagram.com/taiyo.bar,,,,,,,,,,,,https://wa.me/77761116633,,,,,,,,,,,,,,,51.128981,71.408371,https://2gis.com/firm/70000001090104472
Bitanga,ресторан современной украинской кухни,Рестораны,"Кабанбай батыр проспект, 62",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,134,87058538888,,,bitanga.astana@fruitstreetprojects.com,,,,,,https://instagram.com/bitanga.megasilkway,,,,,,,,,,,,https://wa.me/77058538888,,,,,,,,,,,,,,,51.089745,71.404674,https://2gis.com/firm/70000001082427021
Шашлыкоff,ресторан,Рестораны,"улица Мухтара Ауэзова, 43",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00 (служба доставки: вс-чт 12:00-1:00; пт-сб 12:00-2:30),+05:00,4.9,120,87475431313 (служба бронирования),87475504343 (служба доставки),,sh_astana2@mail.ru,,,http://evgeniyvolkov.com/pano/shashlikoff2/index.html,,,https://instagram.com/shashlikoff_kz,,,,,,https://facebook.com/shashlikoffAstana,,,https://vk.com/shashlikoff_kz,,,https://wa.me/77475431313,,,,,,,,,,,,,,,51.180949,71.420248,https://2gis.com/firm/70000001069460115
La Mia Piazza,,Рестораны; Пиццерии,"проспект Туран, 22/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.7,1831,87010225022,,,lamiapiazza21@gmail.com,,,,,,https://instagram.com/la_mia_piazza,,,,,,,,,,,,https://wa.me/77010225022,,,,,,,,,,,,,,,51.139474,71.410233,https://2gis.com/firm/70000001055933855
Okadzaki.kz,кафе,Рестораны; Доставка еды; Суши-бары; Кафе; Пиццерии; Быстрое питание,"улица Кенжебек Кумисбеков, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,2524,87004349183,87773333333 (служба доставки: круглосуточно),,okadzaki.kz@mail.ru,,,http://okadzaki.kz,,,https://instagram.com/okadzaki.kz,,,,,,,,,,,,https://wa.me/77004349183,,,,,,https://t.me/+77773333333,,,,,,,,,51.16257,71.401091,https://2gis.com/firm/70000001063838349
Taifa,ресторан,Рестораны; Доставка еды; Кафе,"улица Манатау, 29",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.9,517,87007283828,87714070379,,taifafood@inbox.ru,,,,,,https://instagram.com/taifa.food,,,,,,,,,,,,https://wa.me/77714070379,,,,,,,,,,,,,,,51.140929,71.479771,https://2gis.com/firm/70000001090338081
The Moon,лаундж-бар,Рестораны; Бары; Караоке-залы,"улица Акмешит, 1 блок 6",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-07:00; Вт: 17:00-07:00; Ср: 17:00-07:00; Чт: 17:00-07:00; Пт: 17:00-07:00; Сб: 17:00-07:00; Вс: 17:00-07:00,+05:00,4.4,353,87089177777,,,,,,,,,https://instagram.com/themoon.astana,,,,,,,,,,,,https://wa.me/77089177777,,,,,,,,,,,,,,,51.121149,71.424089,https://2gis.com/firm/70000001088180882
Arnau,ресторан,Рестораны,"проспект Туран, 30",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,422,87172279111,87011000704,,,,,http://satgroup.kz,http://arnau-restaurant.kz,,https://instagram.com/arnau_rest,,,,,,https://facebook.com/profile.php?id=61556904403552,,,,,,https://wa.me/77011000704,,,,,,,,,,,,,,,51.128562,71.406054,https://2gis.com/firm/70000001018336720
Brewery,гриль-бар,Рестораны; Бары; Караоке-залы,"проспект Туран, 30",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.6,426,87172567711,87028881159,,,,,http://www.brewery.kz,,,https://instagram.com/brewery.rest,,,,,,https://facebook.com/profile.php?id=61556904403552,,,,,,https://wa.me/77028881159,,,,,,,,,,,,,,,51.128668,71.406096,https://2gis.com/firm/70000001018064401
