Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Telegram,YouTube,Широта,Долгота,2GIS URL
Iris Thai Spa,,SPA-процедуры; Массажист,"Керей, Жанибек хандар улица, 18",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.9,179,87004900199,,,,,,,https://instagram.com/iris.premium_astana,,,https://wa.me/77004900198,https://wa.me/77004900199,,,,51.113838,71.425365,https://2gis.com/firm/70000001093407644
Sabai Thai Spa & Massage,СПА-салон,SPA-процедуры; Массажист,"улица Абикен Бектуров, 1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,1108,87001471111,,,,,http://sabai.kz/,,https://instagram.com/spasalonsabai,,,https://wa.me/77074711111,,,,,51.130279,71.399553,https://2gis.com/firm/70000001038373822
Grand Thai Spa&Massage,СПА-салон,SPA-процедуры; Массажист,"улица Толе би, 65",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.9,425,87077025500,,,,,,,https://instagram.com/grand.thai.spa.ast,,,https://wa.me/77077025500,,,,,51.136278,71.397608,https://2gis.com/firm/70000001089581193
Pro balance spa,СПА-центр,SPA-процедуры; Массажист; Парикмахерские,"улица Сарайшык, 27/3",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,5.0,563,87011101066,,,,,,,https://instagram.com/spa_winox_probalance_spa,,,https://wa.me/77011101066,,,,,51.132499,71.427058,https://2gis.com/firm/70000001040046215
Tulip SPA,,SPA-процедуры,"проспект Туран, 19/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00 (до последнего гостя: пн-вс),+05:00,4.9,985,87013988801,,,,,,,https://instagram.com/spa_tulip_astana,,,https://wa.me/77013988801,,,,,51.144316,71.408606,https://2gis.com/firm/70000001054035443
Ana’ Bali spa,,SPA-процедуры; Массажист,"улица Кордай, 100",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,205,87070491388,,,,,,,https://instagram.com/ana_bali_spa,,,https://wa.me/77070491388,,,,,51.125941,71.510501,https://2gis.com/firm/70000001084259404
Layan Thai Spa,,SPA-процедуры; Массажист,"улица Гейдара Алиева, 3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,5.0,63,87172250758,87052420022,,,,,,https://instagram.com/layan_thaispa_ast,,,https://wa.me/77052420022,,,,,51.099259,71.411144,https://2gis.com/firm/70000001102581480
Relish premium spa,,SPA-процедуры; Массажист,"улица Шамши Калдаяков, 8/2",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,5.0,95,87077319777,,,,,http://relish.kz,,https://instagram.com/relish_spa,,,https://wa.me/77077319777,,,,,51.116042,71.461186,https://2gis.com/firm/70000001100046993
Kata Thai Spa,,SPA-процедуры; Массажист,"проспект Туран, 44/2",,,,Нура район,Астана,,Астана,Казахстан,Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,5.0,59,87022204477,,,,,,,https://instagram.com/kata_thai_spa,,,https://wa.me/77022204477,,,,,51.113572,71.402807,https://2gis.com/firm/70000001094678576
Prana Thai SPA,женский тай-СПА комплекс,SPA-процедуры; Массажист,"улица Гейдара Алиева, 3/1",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.9,408,87058111669,87755034762,,prana.astana@gmail.com,,http://prana.com.kz/spa,,https://instagram.com/prana_thaispa,,,https://wa.me/77058111669,https://wa.me/77755034762,,,,51.100004,71.411638,https://2gis.com/firm/70000001091401859
