Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
Хан Келдi,банный комплекс,Бани и сауны; SPA-процедуры; Массажист,"улица Беимбет Майлин, 37а",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,492,87784176834,,,,,http://khankeldi.kz,,,https://instagram.com/khan_keldi.kz,,https://wa.me/77784176834,,,,,51.14883,71.48619,https://2gis.com/firm/70000001057739039
Банный клуб,комплекс бань на дровах,Бани и сауны; SPA-процедуры; Массажист,"улица Ошакты, 8",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,153,87762429898,,,,,http://bunclub.bitrix24.site/order/,,,https://instagram.com/bannyi.club,,https://wa.me/77762429898,,,,,51.134305,71.488857,https://2gis.com/firm/70000001071812303
ХОТТАБЫЧ,сауна на березовых дровах,Бани и сауны; SPA-процедуры; Массажист,"улица Сырымбет, 25",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1862,87084250203,,,htbch@inbox.ru,,http://hottabych.kz,,,https://instagram.com/hottabych_banya,https://facebook.com/hottabych.banya,https://wa.me/77084250203,,,,,51.137175,71.487492,https://2gis.com/firm/70000001034680417
Царский пар,комплекс саун на дровах,Бани и сауны,"проспект Магжана Жумабаева, 33/2",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1011,87089003399 (администрация),,,,,http://tsarskiipar.2gis.biz,,,https://instagram.com/tsarskii_par,,https://wa.me/77089003399,,,,,51.132027,71.494538,https://2gis.com/firm/70000001076255968
Визит D&K,сауна,Бани и сауны,"переулок Кобда, 4а",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,24,87027034323,,,kumbat_18kz@mail.ru,,http://www.tiktok.com/@sauna_astana.vizi,,,https://instagram.com/sauna.astana.dk,,https://wa.me/77027034323,,,,,51.14636,71.532958,https://2gis.com/firm/70000001104780949
Премиум,банный комплекс,Бани и сауны,"улица Айнакол, 20",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,326,87018065222,87088065222,,banyanadrovah20@gmail.com,premium-sauna@mail.ru,,,,https://instagram.com/banya.premium,,https://wa.me/77018065222,https://wa.me/77088065222,,,,51.137483,71.518339,https://2gis.com/firm/70000001029478104
ИЗБУШКА,комплекс саун,Бани и сауны; Аренда коттеджей; SPA-процедуры,"улица Жанкент, 83",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1635,87172540050,87017540050,,,,http://saunaizba.kz,,,https://instagram.com/izbushka.astana,,https://wa.me/77017540050,,,,,51.133835,71.488372,https://2gis.com/firm/70000001024157835
Pari,банный комплекс,Бани и сауны,"улица Саргуль, 11",,,Энергетик ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,57,87018000218,,,,,,,,https://instagram.com/pari_steamhouse,,https://wa.me/77018000218,,,,,51.146376,71.451524,https://2gis.com/firm/70000001097653191
ЦЕЗАРЬ,сауна,Бани и сауны,"улица Ыргыз, 17",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,126,87752515555,87750325050,,,,,,,https://instagram.com/caesar_luxuryhouse01,,https://wa.me/77752515555,https://wa.me/77750325050,,,,51.146452,71.509239,https://2gis.com/firm/70000001059380955
Афродита,сауна,Бани и сауны; SPA-процедуры; Массажист,"улица Айганым, 14",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,66,87770875126,87027482491,,,,,,,,,https://wa.me/77770875126,https://wa.me/77027482491,,,,51.141113,71.4035,https://2gis.com/firm/70000001069410553
Жара,сауна,Бани и сауны,"улица Ушкултай Субханбердина, 26",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,319,87085023202,87025233901,,,,,,,https://instagram.com/sauna_zhara.ns,,https://wa.me/77085023202,,,,,51.142125,71.520409,https://2gis.com/firm/70000001056380123
Атмосфера,,Бани и сауны,"проспект Магжана Жумабаева, 32/5",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,195,87021114940,,,,,,,,,,https://wa.me/77021114940,,,,,51.139021,71.490921,https://2gis.com/firm/70000001061168707
Демал,гостевой комплекс,Бани и сауны; Аренда коттеджей,"улица Жанарыс, 23",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,777,87000239999 (администратор),87000269999,,admin@demalhomes.kz,,http://www.demalhomes.kz,http://demalhomes.2gis.biz,,https://instagram.com/demalhomes.kz,,https://wa.me/77000269999,,,,https://t.me/demalhomes,51.149972,71.511561,https://2gis.com/firm/70000001018088562
King SPA,комплекс саун,Бани и сауны,"улица Лепсы, 73",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,142,87784377848,,,,,,,,,,https://wa.me/77784377848,,,,,51.150472,71.527456,https://2gis.com/firm/70000001019916378
DROVAPAR,,Бани и сауны; SPA-процедуры; Массажист,"улица Айнакол, 61",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,1319,87479336704,,,drovapar@gmail.com,,http://drovapar.kz,,,https://instagram.com/drovapar,https://facebook.com/drovapar,https://wa.me/77479336704,,,,,51.134965,71.506863,https://2gis.com/firm/70000001037589057
Karida,,Бани и сауны,"улица Кобыз, 2/1",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,73,87711875701,,,,,,,,,,https://wa.me/77711875701,,,,,51.131157,71.512711,https://2gis.com/firm/70000001096322614
CAMELOT,премиум сауна и гостевой дом,Бани и сауны; SPA-процедуры; Аренда коттеджей; Массажист,"улица Карашаш ана, 13",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,94,87077689004,,,,,http://camelot.2gis.biz/,http://camelot-astana.kz/,,https://instagram.com/camelot_kz,,https://wa.me/77077689004,,,,,51.140287,71.398488,https://2gis.com/firm/70000001041395046
CLV,гостевой комплекс,Бани и сауны; SPA-процедуры; Банкетные залы; Караоке-залы,"улица Е 126, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,666,87009990505,87172280505,,clv9990505@mail.ru,,http://clv-astana.kz,,,https://instagram.com/clv_astana,,https://wa.me/77009990505,,,,https://t.me/+77009990505,51.146309,71.34692,https://2gis.com/firm/70000001050669665
Salus,сауна,Бани и сауны,"улица Жанаконыс, 16",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,147,87007778833,,,,,http://my.matterport.com/show/?m=PZLRXuqLEAz,http://my.matterport.com/show/?m=w1VLAgCZtzK,http://my.matterport.com/show/?m=LJgCtxTmTT3,https://instagram.com/salus.kz,,https://wa.me/77007778833,,,,,51.189701,71.326416,https://2gis.com/firm/70000001055659760
ХУТОРОК,банный комплекс,Бани и сауны; SPA-процедуры; Массажист; Аренда коттеджей,"переулок Ойтоган, 1",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1594,87172436303,87005436303,,,,,,,https://instagram.com/hutorok.kz,,https://wa.me/77005436303,,,,,51.14571,71.480258,https://2gis.com/firm/70000001028506457
БанькоFF,,Бани и сауны,"улица Зеренды, 27",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,127,87769992727,,,,,,,,https://instagram.com/bankoff_astana,,https://wa.me/77769992727,,,,,51.136285,71.483205,https://2gis.com/firm/70000001077062353
Residence astana,банный комплекс,Бани и сауны,"улица Балкантау, 189",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,142,87003003370,,,,,,,,https://instagram.com/residence_astana,,https://wa.me/77003003370,,,,,51.13334,71.475485,https://2gis.com/firm/70000001096927935
ТЕРЕМОК,комплекс саун на дровах,Бани и сауны; Аренда коттеджей; SPA-процедуры; Массажист,"улица Зеренды, 2/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1500,87018054464,87172538082,,,,,,,https://instagram.com/teremok.astana,,https://wa.me/77018054464,,,,,51.13432,71.483131,https://2gis.com/firm/70000001018096415
Tayga,,Бани и сауны; Массажист; SPA-процедуры,"улица Ахмет Байтурсынулы, 18",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 16:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.6,268,87008889994 (SPA),87008889995 (баня),87783493537 (SPA),,,,,,https://instagram.com/tayga.banya.spa,,https://wa.me/77008889994,https://wa.me/77008889995,https://wa.me/77783493537,,,51.116976,71.513013,https://2gis.com/firm/70000001101275826
Тамшы,,Бани и сауны,"улица Кенжебек Кумисбеков, 3",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),+05:00,4.7,41,87770353636,,,,,,,,,,https://wa.me/77770353636,,,viber://chat/?number=77021707048,,51.164933,71.398964,https://2gis.com/firm/70000001018117270
Eden,,Бани и сауны,"улица Силети, 13",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,188,87011000901,87012929481,,,,http://tiktok.com/@edenbanya,,,https://instagram.com/sauna_eden_astana,,https://wa.me/77012929481,https://wa.me/77011000901,,,https://t.me/+77011000901,51.1466,71.511724,https://2gis.com/firm/70000001093517836
